,id,name,href,price,promo,brand
51,83351,"Напиток Калиновъ Лимонадъ Груша, 200мл",https://online.metro-cc.ru/products/gazirovannyj-grusha-kalinov-limonad-steklo-02-l,52.90,34.90,калиновъ лимонадъ
52,203496,"Напиток Rich bitter Лемон газированный, 330мл",https://online.metro-cc.ru/products/033l-gaz-nap-rich-bitter-lemon-st-203496,109,99.90,rich
53,140786,"Напиток Street газированный, 330мл",https://online.metro-cc.ru/products/033l-napitok-street-gazirovannyy-zhb-140786,55.99,,streer
54,539044,"Квас Царские припасы Традиционный, 500мл",https://online.metro-cc.ru/products/art_539044,78.90,69,царские припасы
55,203471,"Напиток Добрый Манго-маракуйя газированный, 1л x 12 шт",https://online.metro-cc.ru/products/1l-gaz-nap-dobryy-mang-mar-pet-203471,1 151.88,838.80,
56,216498,"Напиток газированный Любимая кола, 1.5л",https://online.metro-cc.ru/products/napitok-gazirovannyy-lyubimaya-kola-15l,99.90,91.90,любимая
57,203404,"Напиток Добрый Апельсин с витамином C газированный, 1.5л x 9 шт",https://online.metro-cc.ru/products/15l-gaz-nap-dobryy-apelsin-vit-s-pet,1 071,981.79,
58,203406,"Напиток Добрый Манго-маракуйя газированный, 1.5л x 9 шт",https://online.metro-cc.ru/products/15l-gaz-nap-dobryy-mango-marakuyya-pet,1 071,981.79,
59,131549,"Напиток газированный Fresh Bar Double Funny, 480мл",https://online.metro-cc.ru/products/048-l-gaz-nap-fresh-bar-dabl-fanni-131549,48.90,,fresh bar
60,133722,Квас Очаково 500мл,https://online.metro-cc.ru/products/kvas-ochakovskiy-500ml,50.90,,очаково
61,216813,"Квас Крестьянский Хлебный, 450мл",https://online.metro-cc.ru/products/045l-kvas-krestyanskiy-zhb-216813,55.90,,крестьянский
62,125432,"Напиток Star Bar Bitter Grapefruit газированный, 175мл",https://online.metro-cc.ru/products/0175-l-gaz-nap-star-bar-bit-grejp-steklo-125432,52.90,29.90,star bar
63,131555,"Напиток газированный Fresh Bar Magic Skills, 480мл",https://online.metro-cc.ru/products/048-l-gaz-nap-ffresh-bar-medzhik-skills-131555,48.90,,fresh bar
64,134146,"Напиток Волковская пивоварня Волчок Cola, 330мл",https://online.metro-cc.ru/products/napitok-gazirovannyy-volchok-cola-330ml,68.90,,
65,207304,"RIOBA Напиток газированный лимон, 500мл",https://online.metro-cc.ru/products/05l-gaz-nap-rioba-limon-st-207304,92.90,,rioba
66,206534,"Напиток Chillout Bitter Tonic Грейпфрут сильногазированный, 900мл",https://online.metro-cc.ru/products/09l-gaz-nap-chillout-bitter-greypfrut-pet-206534,107,,
67,203670,"Напиток Rocket Tonic Lavender газированный, 200мл",https://online.metro-cc.ru/products/02l-nap-gaz-roket-tonik-lavanda-ba-203670,169,,rocket
68,101834,"Напиток Ильинские лимонады Лимонад газированный, 480мл",https://online.metro-cc.ru/products/gazirovannyj-napitok-ilyinskie-limonady-limonad-048-l,38.50,,
69,558020,"Напиток Калиновъ Лимонадъ Груша, 500мл",https://online.metro-cc.ru/products/gazirovannyj-kalinov-limonad-grusha-vintazh-v-steklyannoj-butylke-05-l,76.90,,калиновъ лимонадъ
70,220881,"Квас Никола Традиционный, 2л",https://online.metro-cc.ru/products/2l-kvas-nikola-traditsionnyy-pet-220881,129,,никола
71,135102,"Лимонад Черноголовка Оригинальный газированный, 500мл",https://online.metro-cc.ru/products/limonad-chernogolovka-originalnyj-500ml,54.90,49.90,черноголовка
72,558021,"Напиток Калиновъ Лимонадъ Домашний, 500мл",https://online.metro-cc.ru/products/art_558021,76.90,,калиновъ лимонадъ
73,571247,"Напиток Калиновъ Лимонадъ Тархун, 500мл",https://online.metro-cc.ru/products/limonad-kalinov-tarhun-vintazhnyj-silnogazirovannyj-05-l-571247,76.90,,калиновъ лимонадъ
74,216501,"Напиток газированный Любимая кола, 1л",https://online.metro-cc.ru/products/gazirovannyj-lyubimaya-kola-1l,74.90,68.90,любимая
75,206489,"Напиток Chillout Premium English Tonic сильногазированный, 330мл",https://online.metro-cc.ru/products/033l-gaz-nap-chillout-premium-english-tonic-zhb-206489,63.90,49.90,
76,220139,"Квас Лидский темный, 1.5л",https://online.metro-cc.ru/products/15l-kvas-lidskiy-temnyy-pet-220139,119,,лидский
77,539052,"Квас Царские припасы живой, 2л",https://online.metro-cc.ru/products/art_539052,191,169,царские припасы
78,98847,"Квас Лидский хлебный, 1.5л",https://online.metro-cc.ru/products/kvas-lidskij-hlebnyj-pet-15l,110,,лидский
79,206591,"Напиток Черноголовка Кола без сахара сильногазированный, 1л",https://online.metro-cc.ru/products/1l-gaz-nap-chernogolovka-kola-bez-sahara-st-206591,130,,черноголовка
80,639970,"Квас Афанасий Старомонастырский живой, 1л",https://online.metro-cc.ru/products/kvas-afanasij-staromonastyrskij-zhivoj-1l,108,95,афанасий
81,208267,"Напиток Oshee витаминный витамины D+K, 250мл",https://online.metro-cc.ru/products/025l-vitaminnyy-napitok-oshee-vitaminy-dk-zhb-208267,152,,oshee
82,101947,"Напиток Ильинские лимонады Дюшес газированный, 480мл",https://online.metro-cc.ru/products/gazirovannyj-napitok-ilyinskie-limonady-dyushes-048-l,38.50,,
83,217015,"aro Квас, 1.5л",https://online.metro-cc.ru/products/15l-kvas-aro-pet-217015,71.90,,
